iter,pa,res,lk,rk,Hk,Ha
0,0.00,18,6,11,173,206
1,0.00200,21,9,10,217,244
2,0.00400,31,12,18,216,255
3,0.00600,16,6,10,213,255
4,0.00800,26,6,20,205,248
5,0.0100,18,10,7,213,252
6,0.0120,19,6,13,204,249
7,0.0140,21,7,14,203,245
8,0.0160,19,11,7,207,242
9,0.0180,17,5,11,208,240
10,0.0200,23,6,16,207,243
11,0.0220,19,8,10,215,249
12,0.0240,14,7,6,208,241
13,0.0260,15,7,8,208,243
14,0.0280,15,6,8,208,245
15,0.0300,18,12,6,208,241
16,0.0320,23,12,10,209,243
17,0.0340,11,7,3,210,240
18,0.0360,17,6,10,209,240
19,0.0380,17,6,10,210,240
20,0.0400,19,7,12,217,252
21,0.0420,16,6,10,209,240
22,0.0440,11,8,3,217,247
23,0.0460,11,7,4,210,240
24,0.0480,17,5,9,211,241
25,0.0500,21,11,10,212,242
26,0.0520,12,3,7,217,246
27,0.0540,10,5,4,211,241
28,0.0560,21,12,8,211,241
29,0.0580,13,3,6,212,241
30,0.0600,14,4,6,212,242
31,0.0620,12,3,5,213,243
32,0.0640,25,7,14,211,242
33,0.0660,12,3,6,213,243
34,0.0680,17,6,6,213,243
35,0.0700,17,2,8,212,242
36,0.0720,26,7,14,213,244
37,0.0740,23,5,13,212,242
38,0.0760,20,7,7,213,243
39,0.0780,17,3,7,214,244
40,0.0800,19,2,8,215,244
41,0.0820,24,7,9,213,244
42,0.0840,20,3,8,215,245
43,0.0860,21,4,8,214,243
44,0.0880,21,4,7,213,243
45,0.0900,22,4,8,213,244
46,0.0920,27,4,12,215,244
47,0.0940,27,3,13,214,244
48,0.0960,27,3,13,215,245
49,0.0980,28,4,13,215,245
